snapshot_name,optimizer_step,state_id,disclosure_level,activation_level,trust_level,sampling_probability_mean,probability_ratio_to_uniform,visit_groups_sum,hierarchical_pass_rate_mean,boundary_value_mean,uncertainty_bonus_mean,allocation_score_mean
adaptive_middle,95,0,delayed,moderate,trust_1,0.040107880899424395,0.9625891415861855,67,0.3167399498599989,0.6334798997199979,0.9273635585620801,0.7725844335043098
adaptive_middle,95,1,delayed,moderate,trust_2,0.03900005890948441,0.9360014138276258,53,0.30310075450084817,0.6062015090016963,1.005942434620862,0.7570928741948255
adaptive_middle,95,2,delayed,moderate,trust_3,0.0464433829471039,1.1146411907304936,65,0.4062889729244023,0.7728843061551649,0.9270114697640397,0.9119360266197708
adaptive_middle,95,3,delayed,moderate,trust_4,0.0436860265942954,1.0484646382630898,62,0.35478704822861856,0.7095740964572371,0.9443706293299594,0.8512296908567311
adaptive_middle,95,4,delayed,high,trust_1,0.034532798940340156,0.8287871745681638,58,0.25316433622732876,0.5063286724546575,0.996478622913811,0.6558004658917291
adaptive_middle,95,5,delayed,high,trust_2,0.033070339997991444,0.7936881599517946,51,0.23302270845629222,0.46604541691258444,1.0265578803106117,0.6200290989591761
adaptive_middle,95,6,delayed,high,trust_3,0.04315067678978979,1.035616242954955,52,0.3449087605676325,0.689817521135265,1.0227494950619473,0.843229945394557
adaptive_middle,95,7,delayed,high,trust_4,0.028799081003443843,0.6911779440826523,51,0.18801063417791358,0.37602126835582717,1.0200173355349513,0.5290238686860699
adaptive_middle,95,8,conditional,moderate,trust_1,0.03849161151882715,0.9237986764518517,82,0.30425051496729455,0.6085010299345891,0.8434009481106366,0.7350111721511845
adaptive_middle,95,9,conditional,moderate,trust_2,0.04481063113917842,1.0754551473402822,62,0.36413573122265536,0.7282714624453107,0.9400587935084141,0.8692802814715728
adaptive_middle,95,10,conditional,moderate,trust_3,0.04325222251656258,1.0380533403975019,60,0.3507114187851157,0.7014228375702314,0.965068137477384,0.8461830581918389
adaptive_middle,95,11,conditional,moderate,trust_4,0.042739694567346026,1.0257526696163046,71,0.3503793704156917,0.7007587408313835,0.8836958531809441,0.833313118808525
adaptive_middle,95,12,conditional,high,trust_1,0.04159539519528065,0.9982894846867357,61,0.3376444780082524,0.6581186263461751,0.9607307640786114,0.8022282409579669
adaptive_middle,95,13,conditional,high,trust_2,0.04550907064876153,1.0922176955702767,65,0.37330999167294837,0.7466199833458969,0.9429001321442094,0.8880550031675282
adaptive_middle,95,14,conditional,high,trust_3,0.043926574820005726,1.0542377956801374,72,0.37054986423797515,0.7340180420464377,0.8808981482668621,0.866152764286467
adaptive_middle,95,15,conditional,high,trust_4,0.04391012584204007,1.0538430202089617,75,0.3714398527996546,0.7306248036385248,0.8617931885424631,0.8598937819198943
