optimizer_step,controller_groups_seen,controller_mode,normalized_entropy_mean,effective_pool_mean,max_probability_mean,min_probability_mean,state_coverage,unit_coverage,mean_pass_rate,pass_rate_std,mean_boundary_value,mean_uncertainty_bonus
70,1115,adaptive,0.9939853918605948,23.545806844665524,0.0581863124329235,0.0253906608108446,1.0,0.9947916666666666,0.3132742290587664,0.0939885751376164,0.6235334161943631,1.07402705310196
75,1195,adaptive,0.994084688030164,23.553302832740936,0.0580761104635667,0.0255345935163111,1.0,0.9947916666666666,0.3186621174103617,0.0972984871213492,0.6324820595791797,1.04335792459076
80,1275,adaptive,0.9942572741680438,23.56624332681689,0.0570831373047494,0.025748009148786,1.0,0.9947916666666666,0.322526560216752,0.0962597848238107,0.6421348385616068,1.0198699832780764
85,1355,adaptive,0.9941295048762342,23.5566852816302,0.0555049720137344,0.0252596885743285,1.0,1.0,0.3250221703281351,0.099681596514763,0.644547273032399,0.9907207177846492
90,1435,adaptive,0.9944035911707492,23.577179224838016,0.0555917697909544,0.025427720481113,1.0,1.0,0.3307211879736182,0.0994928476100117,0.6544453127952709,0.964171673232565
95,1514,adaptive,0.9947704096675998,23.6047195024811,0.0541960466376053,0.025270800327688,1.0,1.0,0.3371703824784895,0.0999857812420117,0.6665316628621292,0.944580449703258
100,1594,adaptive,0.9950181398353612,23.623320864397435,0.0541251201907691,0.0260140020768292,1.0,1.0,0.3433852589006125,0.1015643876484098,0.6758616023512034,0.9238667626913188
105,1674,adaptive,0.995421844916442,23.653748813339867,0.0538109373176434,0.027688215647442,1.0,1.0,0.3501326464123457,0.1018966641618561,0.6860805323570167,0.9056554199931512
110,1754,adaptive,0.9955088607815192,23.660398917298707,0.0534617071371113,0.028122372914248,1.0,1.0,0.3549057844635341,0.101738721578397,0.6931017511252934,0.8884441303556901
115,1834,adaptive,0.9955413669064602,23.66297049347547,0.0540202532803641,0.0279432790407182,1.0,1.0,0.3578867576090753,0.1017674648958936,0.698534295594587,0.8727426446017909
120,1914,adaptive,0.9955295381020506,23.661953426439496,0.0540220175003358,0.0278179962910001,1.0,1.0,0.3599524822805042,0.1028194015602493,0.7028762928363719,0.856202785778016
125,1994,adaptive,0.9956952310120788,23.67428107213676,0.0540089322915618,0.0281909590766106,1.0,1.0,0.3572503292919856,0.1005916744736701,0.6992703291155808,0.842233754159235
130,2045,adaptive,0.9956389334106808,23.67002407363131,0.054378829710026,0.0285848419109901,1.0,1.0,0.3549554654157882,0.1007366077458378,0.6945605606164439,0.8342631093581568
131,2046,adaptive,0.9956477772673756,23.670685468480244,0.0543833282945644,0.0285969178860512,1.0,1.0,0.3547800517205049,0.1007361407701851,0.6942097332258773,0.8341447556156103
136,2126,adaptive,0.9947888471460944,23.806071547122787,0.0531752382991636,0.0305756343792979,1.0,1.0,0.3639877906068244,0.0629961556895657,0.7248989023205274,0.8229163530636393
141,2206,adaptive,0.994251837111384,23.78171306019615,0.0561838862155739,0.0303248100707419,1.0,1.0,0.3543960687386392,0.0715895417370982,0.717599007669319,0.8079895256659695
146,2286,adaptive,0.996061798650329,23.826705954564435,0.0585226517987715,0.0300162667175371,1.0,1.0,0.3371327496645898,0.0851703150496111,0.711052717297359,0.7935977792488551
151,2366,adaptive,0.998772533085548,23.90542170219496,0.0598863062046758,0.0296293467625064,1.0,1.0,0.3232691797889299,0.1014146169912984,0.7069754494219717,0.780339531807903
156,2446,adaptive,1.0,23.95694594758132,0.0604094028330237,0.0290798971498536,1.0,1.0,0.3230419929570788,0.1175428222432507,0.7067304630719344,0.7686395066387633
161,2526,adaptive,1.0,23.982249980312407,0.0604735142681985,0.028286027631845,1.0,1.0,0.3257725938676246,0.1307951712400634,0.7092779491188712,0.7586087859266529
